Long,Lat,Depth,T,Sal,CDOM,Turb,TA,O2,pH,pCO2 ,Ar ,SPM,POC,DIC,nDIC,AOU,Temp K,CO2_Gas_conc_?mol_L
181.584,65.249,38.266,1.50,33.01,1.93,1.24,2254.1,140.56,7.61,1114.57,0.55,10.71,,2261.80,2398.01,199.40,274.65,49.429
189.242,65.465,3.348,4.23,31.39,1.45,0.32,2168.6,284.35,8.03,387.62,1.42,6.55,,2046.65,2282.08,37.32,277.38,17.021
189.242,65.465,9.809,4.30,31.45,1.47,0.28,2179.8,278.81,8.02,409.02,1.38,,,2063.26,2296.52,42.19,277.45,17.957
189.242,65.465,12.847,4.51,31.66,1.43,0.48,2183.5,246.88,8.02,405.51,1.40,,,2063.39,2281.34,71.96,277.66,17.789
189.242,65.465,18.233,4.19,31.91,1.55,0.86,2209.0,242.99,7.89,571.56,1.07,,,2130.91,2337.55,77.74,277.34,25.102
189.242,65.465,25.698,3.19,32.82,1.41,2.73,2241.4,211.55,7.75,796.79,0.79,,,2202.50,2348.70,114.81,276.34,35.120
189.242,65.465,31.084,3.19,32.82,1.34,3.04,2241.5,212.25,7.78,749.01,0.84,9.34,,2195.53,2341.28,114.09,276.34,33.014
190.166,65.768,1,3.61,33.00,,,2352.0,383.01,8.01,274.00,2.13,0.99,,2149.00,2279.24,-60.42,276.76,12.059
190.166,65.768,5,3.62,33.00,,,2352.0,381.98,8.01,274.00,2.13,,,2149.00,2279.24,-59.47,276.77,12.058
190.166,65.768,9,3.61,33.00,,,2352.0,381.48,8.01,273.00,2.13,,,2148.00,2278.18,-58.89,276.76,12.015
190.166,65.768,14,3.37,33.01,,,2352.0,365.94,7.97,301.00,1.96,,,2167.00,2297.64,-41.48,276.52,13.259
190.166,65.768,24,2.70,33.02,,,2352.0,304.35,7.77,498.00,1.27,,,2248.00,2382.80,25.49,275.85,21.989
190.166,65.768,46,2.23,33.06,,,2352.0,273.23,7.67,629.00,1.02,2.04,,2282.00,2415.91,60.39,275.38,27.821
190.433,66.168,3.294,4.00,30.23,1.62,0.72,2103.0,278.84,8.05,360.41,1.39,6.92,,1983.27,2296.18,47.46,277.15,15.840
190.433,66.168,6.955,4.20,31.19,1.55,2.01,2165.1,244.45,7.93,502.61,1.14,,,2077.30,2331.31,77.90,277.35,22.073
190.433,66.168,19.748,4.17,32.26,1.27,2.93,2210.7,247.95,7.90,550.12,1.11,,,2127.02,2307.99,72.05,277.32,24.162
190.433,66.168,30.08,3.98,32.48,1.24,3.19,2219.7,243.68,7.88,580.14,1.06,,,2142.24,2308.76,77.32,277.13,25.499
190.433,66.168,44.884,3.95,32.51,1.22,4.55,2225.1,246.57,7.87,589.39,1.05,13.11,,2149.30,2314.15,74.58,277.10,25.908
190.550,66.208,2.955,4.05,32.32,1.30,1.36,2201.6,267.13,7.96,474.41,1.24,13.46,,2100.70,2275.24,53.70,277.20,20.846
190.550,66.208,9.333,4.03,32.31,1.41,1.48,2201.8,267.54,7.95,485.05,1.22,,,2103.70,2278.62,53.41,277.18,21.314
190.550,66.208,14.126,3.12,33.05,0.83,1.28,2236.3,258.53,7.87,595.69,1.02,,,2163.80,2291.68,67.88,276.27,26.263
190.550,66.208,18.813,3.08,33.08,0.89,1.32,2236.3,263.39,7.87,597.88,1.02,,,2164.20,2289.89,63.23,276.23,26.363
190.550,66.208,40.044,3.05,33.11,0.94,1.72,2237.0,260.67,7.86,600.33,1.01,,,2165.50,2289.43,66.11,276.20,26.474
190.550,66.208,52.583,3.05,33.11,0.89,1.99,2248.5,258.78,7.86,603.29,1.01,13.50,,2176.80,2301.18,68.01,276.20,26.605
190.499,66.334,5,5.49,32.11,,,2291.0,319.27,7.94,353.00,1.79,0.99,,2125.00,2316.26,-8.84,278.64,15.431
190.499,66.334,9,5.49,32.11,,,2290.0,319.34,7.94,354.00,1.78,,,2126.00,2317.35,-8.91,278.64,15.475
190.499,66.334,14,5.49,32.11,,,2292.0,321.33,7.94,353.00,1.79,,,2127.00,2318.44,-10.90,278.64,15.431
190.499,66.334,25,4.09,32.50,,,2314.0,314.26,7.87,407.00,1.54,,,2177.00,2344.46,5.80,277.24,17.881
190.499,66.334,50,1.90,32.91,,,2344.0,263.80,7.67,622.00,1.00,0.42,,2275.00,2419.48,72.99,275.05,27.545
