Long,Lat,Depth,T,Sal,CDOM,Turb,TA,O2,pH,pCO2 ,Ar ,SPM,POC,DIC,nDIC,AOU,Temp K,CO2_Gas_conc_?mol_L
187.397,68.783,9,6.40,32.10,,,2304.0,326.01,8.19,190.00,2.92,,,2019.00,2201.40,-22.09,279.55,8.278
187.397,68.783,14,6.37,32.11,,,2304.0,327.31,8.18,191.00,2.89,,,2021.00,2202.90,-23.20,279.52,8.323
187.397,68.783,24,2.00,32.66,,,2333.0,312.04,7.86,379.00,1.51,,,2198.00,2355.48,24.54,275.15,16.777
187.397,68.783,49,1.84,32.73,,,2349.0,221.84,7.59,779.00,0.82,2.88,,2309.00,2469.14,115.92,274.99,34.505
170.016,68.859,0.0,8.43,18.51,9.50,1.50,1398.3,316.90,7.80,514.80,0.47,1.67,0.13,1379.00,2607.14,3.39,281.58,22.269
170.016,68.859,10.4,8.56,18.50,9.23,1.54,1362.5,319.30,7.79,504.20,0.45,0.97,0.12,1343.00,2540.26,0.01,281.71,21.800
185.745,68.905,1,6.85,32.33,,,2322.0,326.68,8.23,173.00,3.19,0.40,,2010.00,2176.00,-26.41,280.00,7.526
185.745,68.905,4,6.84,32.33,,,2322.0,325.23,8.23,174.00,3.18,,,2011.00,2177.08,-24.89,279.99,7.569
185.745,68.905,9,6.80,32.33,,,2322.0,326.03,8.23,175.00,3.17,,,2012.00,2178.16,-25.42,279.95,7.614
185.745,68.905,14,6.78,32.35,,,2323.0,327.01,8.22,179.00,3.12,,,2018.00,2183.31,-26.30,279.93,7.789
185.745,68.905,24,1.80,32.86,,,2354.0,255.23,7.65,659.00,0.97,,,2292.00,2441.27,82.54,274.95,29.194
185.745,68.905,34,1.64,33.02,,,2367.0,244.58,7.58,792.00,0.82,,,2328.00,2467.60,94.14,274.79,35.106
185.745,68.905,45,1.23,33.21,,,2395.0,176.48,7.37,1351.00,0.51,0.63,,2423.00,2553.60,165.28,274.38,59.974
187.25,68.97,0,3.80,31.38,,,,334.90,8.31,216.55,1.81,0.84,,1678.23,1871.84,-9.85,276.95,9.524
187.25,68.97,10,3.77,31.38,,,,363.90,8.33,223.39,2.06,,,1824.59,2035.07,-38.61,276.92,9.826
187.25,68.97,30,1.19,32.51,,,,289.50,8.00,489.45,0.95,,,1871.33,2014.66,54.46,274.34,21.731
187.25,68.97,51,1.42,32.59,,,,248.10,7.86,706.78,0.74,3.22,,1978.45,2124.75,93.64,274.57,31.353
183.281,68.983,2,7.26,30.97,,,2229.0,317.78,8.16,211.00,2.62,0.33,,1975.00,2232.00,-17.34,280.41,9.165
183.281,68.983,5,7.26,30.97,,,2227.0,317.58,8.16,210.00,2.62,,,1973.00,2229.74,-17.14,280.41,9.122
183.281,68.983,9,7.26,30.99,,,2229.0,318.42,8.16,210.00,2.62,,,1975.00,2230.56,-18.02,280.41,9.122
183.281,68.983,15,3.76,32.26,,,2336.0,403.91,8.19,166.00,2.97,,,2043.00,2216.52,-80.70,276.91,7.302
183.281,68.983,25,0.67,32.88,,,2365.0,392.92,7.99,249.00,2.04,,,2169.00,2308.85,-45.33,273.82,11.076
183.281,68.983,47,-0.86,33.26,,,2406.0,245.82,7.50,889.00,0.68,2.33,,2393.00,2518.19,114.87,272.29,39.767
169.646,68.991,0.0,8.29,18.80,8.85,1.29,1399.3,318.58,7.79,523.40,0.46,0.59,0.11,1381.00,2571.13,2.09,281.44,22.652
169.646,68.991,12.0,8.00,18.91,8.92,5.17,1422.4,317.80,7.79,530.60,0.46,1.15,0.14,1404.00,2599.02,4.79,281.15,22.988
170.301,69.017,0.0,8.36,17.94,9.35,1.71,1370.8,319.67,7.79,515.90,0.44,1.07,0.13,1354.00,2641.41,2.48,281.51,22.322
170.301,69.017,13.0,5.63,19.18,11.81,4.93,1441.0,314.98,7.80,506.50,0.44,1.19,0.12,1425.00,2600.60,25.65,278.78,22.130
183.84,69.03,0,3.05,31.86,,,,335.00,8.34,202.37,1.95,1.43,,1716.50,1885.67,-5.11,276.20,8.924
183.84,69.03,20,3.68,32.44,,,,345.50,8.37,202.80,2.23,,,1813.30,1956.39,-22.09,276.83,8.923
183.84,69.03,30,-0.08,32.86,,,,233.00,7.80,723.86,0.57,,,1821.97,1940.62,121.47,273.07,32.288
183.84,69.03,49,-1.12,33.14,,,,255.30,7.90,623.02,0.78,2.17,,2016.30,2129.46,108.24,272.03,27.896
180.718,69.116,2.928,3.36,31.89,0.38,0.28,2185.6,298.59,8.22,239.24,2.03,6.57,,1995.78,2190.62,28.73,276.51,10.538
180.718,69.116,9.855,3.36,31.89,0.53,0.29,2190.9,298.51,8.22,240.95,2.03,,,2001.52,2196.97,28.79,276.51,10.614
180.718,69.116,20.191,3.36,31.89,0.62,0.22,2196.0,290.38,8.18,268.91,1.87,,,2023.14,2220.77,36.92,276.51,11.845
180.718,69.116,27.163,1.15,32.58,1.41,0.39,2243.8,235.26,7.83,652.20,0.86,,,2193.76,2357.02,108.91,274.30,28.961
180.718,69.116,29.929,-0.14,32.79,1.65,1.97,2252.5,205.38,7.72,846.93,0.65,,,2237.67,2388.40,149.83,273.01,37.785
180.718,69.116,40.064,-0.27,32.82,1.77,2.52,2254.3,213.11,7.72,847.30,0.65,9.20,,2240.05,2388.68,143.22,272.88,37.820
169.285,69.126,0.0,8.11,18.71,10.05,2.00,1408.6,326.88,7.77,549.30,0.44,1.41,0.15,1394.00,2608.04,-4.71,281.26,23.788
169.285,69.126,10.0,7.66,18.75,10.12,2.53,1407.8,315.95,7.77,543.20,0.44,1.39,0.15,1393.00,2600.61,9.53,280.81,23.561
186.216,69.15,2,6.72,32.25,,,2317.0,316.78,8.16,211.00,2.78,0.61,,2047.00,2221.55,-15.43,279.87,9.183
186.216,69.15,5,6.72,32.25,,,2317.0,313.54,8.15,214.00,2.76,,,2050.00,2224.81,-12.19,279.87,9.314
186.216,69.15,9,6.72,32.25,,,2317.0,318.57,8.15,214.00,2.75,,,2050.00,2224.81,-17.22,279.87,9.314
186.216,69.15,14,6.71,32.26,,,2319.0,312.85,8.15,215.00,2.75,,,2052.00,2226.29,-11.46,279.86,9.357
186.216,69.15,22,3.15,32.46,,,2343.0,349.03,7.99,283.00,2.01,,,2153.00,2321.47,-21.45,276.30,12.476
186.216,69.15,51,2.14,32.88,,,2382.0,159.17,7.40,1288.00,0.55,0.53,,2400.00,2554.74,175.67,275.29,56.988
187.116,69.166,3,5.50,29.86,0.89,0.14,2055.8,293.73,8.22,230.98,1.98,10.54,,1871.60,2194.00,21.90,278.65,10.096
187.116,69.166,15.135,5.43,29.96,0.89,0.16,2243.2,295.00,,,1.17,,,2158.40,2521.69,20.88,278.58,0.000
187.116,69.166,25.706,1.68,32.82,1.76,0.21,2047.2,261.96,8.24,208.04,1.89,,,1860.80,1984.51,76.97,274.83,9.220
187.116,69.166,30.51,2.10,32.92,1.41,0.53,2235.7,178.95,7.69,921.12,0.66,,,2219.90,2360.19,156.14,275.25,40.761
187.116,69.166,40.247,1.63,32.94,1.76,1.76,2253.5,134.65,7.54,1329.08,0.47,,,2282.30,2425.13,204.37,274.78,58.915
187.116,69.166,53.983,1.14,32.95,1.94,14.82,2259.8,138.68,7.54,1300.84,0.47,15.18,,2288.20,2430.77,204.55,274.29,57.766
169.881,69.175,0.0,7.71,19.06,8.73,1.20,1434.1,321.35,7.79,529.30,0.47,0.79,0.11,1416.00,2600.46,3.06,280.86,22.955
169.881,69.175,15.0,1.52,24.88,17.27,1.98,1805.0,330.75,7.44,1389.50,0.25,1.37,0.13,1866.00,2625.22,30.96,274.67,61.618
170.584,69.175,0.0,8.27,18.46,8.92,1.48,1399.7,318.15,7.79,520.20,0.46,0.84,0.11,1381.00,2619.00,3.46,281.42,22.515
170.584,69.175,11.0,8.34,18.67,9.11,3.45,1411.9,315.67,7.79,531.30,0.46,2.09,0.16,1394.00,2613.59,4.92,281.49,22.990
180.00,69.18,0,-0.46,26.68,,,,376.90,8.37,164.53,1.38,1.87,,1488.30,1952.41,-1.13,272.69,7.349
180.00,69.18,10,-1.43,29.62,,,,424.40,8.40,159.85,1.82,,,1689.89,1996.83,-47.52,271.72,7.166
180.00,69.18,29,-1.41,32.86,,,,259.00,7.82,819.43,0.68,4.56,,2192.10,2334.86,108.17,271.74,36.729
184.414,69.23,1,7.07,31.67,,,2276.0,318.75,8.19,192.00,2.89,1.12,,1995.00,2204.77,-18.54,280.22,8.346
184.414,69.23,5,7.07,31.67,,,2279.0,317.62,8.19,192.00,2.89,,,1997.00,2206.98,-17.41,280.22,8.346
184.414,69.23,10,7.07,31.67,,,2279.0,318.84,8.19,191.00,2.91,,,1996.00,2205.87,-18.63,280.22,8.302
184.414,69.23,14,6.90,31.98,,,2291.0,325.83,8.20,188.00,2.95,,,2002.00,2191.06,-25.13,280.05,8.177
184.414,69.23,25,1.76,32.81,,,2357.0,394.44,8.06,217.00,2.34,,,2129.00,2271.11,-56.20,274.91,9.614
184.414,69.23,47,1.06,33.00,,,2386.0,198.81,7.54,861.00,0.75,0.33,,2360.00,2503.03,145.00,274.21,38.245
182.428,69.334,2,5.87,28.34,,,2045.0,328.18,8.07,233.00,1.93,0.45,,1861.00,2298.34,-11.79,279.02,10.171
182.428,69.334,4,5.94,28.42,,,2046.0,327.81,8.08,232.00,1.95,,,1859.00,2289.41,-12.13,279.09,10.125
182.428,69.334,9,7.28,30.06,,,2120.0,321.43,8.09,241.00,2.17,,,1911.00,2225.05,-19.12,280.43,10.468
182.428,69.334,14,5.64,32.44,,,2325.0,376.83,8.20,179.00,3.00,,,2030.00,2190.20,-68.25,278.79,7.820
182.428,69.334,24,0.76,32.79,,,2352.0,415.70,8.07,204.00,2.34,,,2123.00,2266.09,-68.68,273.91,9.072
182.428,69.334,46,-0.32,33.09,,,2394.0,272.52,7.64,620.00,0.95,1.00,,2334.00,2468.72,83.55,272.83,27.679
170.156,69.348,0.0,7.47,19.41,8.62,1.24,1438.4,320.91,7.78,539.60,0.46,0.96,0.09,1421.00,2561.82,4.47,280.62,23.421
170.156,69.348,15.4,1.18,24.47,18.09,1.77,1845.7,324.93,7.45,1402.90,0.25,0.93,0.10,1909.00,2729.95,41.17,274.33,62.290
169.416,69.378,0.0,6.25,19.02,9.62,1.41,1437.1,336.41,7.79,524.10,0.44,0.91,0.12,1422.00,2616.39,-0.48,279.40,22.848
169.416,69.378,14.0,6.68,19.24,9.33,3.83,1443.0,331.01,7.79,531.20,0.45,2.42,0.19,1427.00,2596.51,0.94,279.83,23.122
187.508,69.5,2,7.04,32.10,,,2313.0,313.49,8.13,232.00,2.63,0.13,,2060.00,2246.11,-14.02,280.19,10.085
187.508,69.5,4,7.05,32.10,,,2313.0,313.47,8.13,234.00,2.61,,,2061.00,2247.20,-14.07,280.20,10.172
187.508,69.5,9,7.02,32.10,,,2313.0,313.12,8.13,232.00,2.62,,,2060.00,2246.11,-13.51,280.17,10.086
187.508,69.5,14,6.97,32.10,,,2314.0,314.61,8.13,232.00,2.62,,,2061.00,2247.20,-14.66,280.12,10.088
187.508,69.5,24,3.39,32.45,,,2333.0,280.56,7.91,354.00,1.70,,,2178.00,2349.15,45.12,276.54,15.592
187.508,69.5,49,2.89,32.77,,,2353.0,272.49,7.77,500.00,1.27,1.63,,2249.00,2402.04,56.43,276.04,22.063
189.509,69.501,3,7.53,31.56,,,2293.0,300.48,8.08,267.00,2.38,0.47,,2067.00,2292.30,-3.17,280.68,11.587
189.509,69.501,4,7.53,31.56,,,2293.0,301.38,8.08,267.00,2.38,,,2067.00,2292.30,-4.07,280.68,11.587
189.509,69.501,9,7.52,31.56,,,2293.0,302.11,8.08,267.00,2.37,,,2067.00,2292.30,-4.73,280.67,11.587
189.509,69.501,13,7.51,31.57,,,2293.0,302.18,8.08,266.00,2.37,,,2067.00,2291.57,-4.76,280.66,11.544
189.509,69.501,25,3.40,32.04,,,2307.0,339.55,8.07,231.00,2.28,,,2086.00,2278.71,-12.94,276.55,10.174
189.509,69.501,40,2.39,32.24,,,2317.0,335.11,8.01,254.00,2.05,,,2119.00,2300.40,-0.73,275.54,11.228
189.509,69.501,49,2.24,32.30,,,2317.0,276.52,7.88,358.00,1.56,2.80,,2175.00,2356.81,58.96,275.39,15.834
185.512,69.502,1,6.64,32.40,,,2331.0,319.36,8.21,184.00,3.07,0.33,,2031.00,2193.98,-17.79,279.79,8.010
185.512,69.502,4,6.64,32.40,,,2328.0,319.00,8.21,184.00,3.07,,,2029.00,2191.82,-17.43,279.79,8.010
185.512,69.502,9,6.62,32.40,,,2331.0,319.23,8.21,184.00,3.07,,,2031.00,2193.98,-17.52,279.77,8.011
185.512,69.502,14,6.60,32.42,,,2331.0,319.35,8.19,190.00,3.00,,,2038.00,2200.19,-17.55,279.75,8.273
185.512,69.502,25,2.04,32.82,,,2354.0,275.45,7.74,521.00,1.19,,,2261.00,2411.18,60.38,275.19,23.060
185.512,69.502,49,1.92,33.07,,,2392.0,180.38,7.45,1142.00,0.61,0.93,,2395.00,2534.77,155.82,275.07,50.568
170.433,69.52,0.0,8.40,18.95,8.88,2.49,1426.5,318.56,7.79,532.20,0.47,1.65,0.14,1407.00,2598.28,0.95,281.55,23.024
170.433,69.52,11.0,8.33,19.52,9.03,2.97,1428.2,316.62,7.77,550.50,0.46,2.36,0.15,1410.00,2527.89,2.07,281.48,23.822
169.921,69.553,0.0,7.91,19.33,8.81,1.37,1447.9,321.60,7.79,535.60,0.48,0.93,0.13,1429.00,2587.74,0.65,281.06,23.211
169.921,69.553,15.8,2.54,24.37,15.04,3.62,1791.0,301.34,7.48,1283.80,0.27,3.02,0.17,1841.00,2643.66,52.41,275.69,56.720
178.37,69.59,0,-0.88,27.53,,,,385.10,8.41,163.34,1.68,2.80,,1643.83,2089.86,-7.60,272.27,7.307
178.37,69.59,17,-0.24,32.48,,,,417.00,8.20,299.14,1.49,,,1929.72,2079.44,-59.98,272.91,13.351
178.37,69.59,34,-0.74,33.21,,,,262.30,7.80,868.13,0.68,3.00,,2201.27,2319.92,97.39,272.41,38.817
182.844,69.6,1,5.43,26.77,,,1932.0,322.49,8.05,234.00,1.67,0.80,,1773.00,2318.08,0.98,278.58,10.231
182.844,69.6,4,6.56,28.60,,,1972.0,315.90,8.04,251.00,1.77,,,1802.00,2205.24,-5.20,279.71,10.930
182.844,69.6,10,7.78,30.10,,,2130.0,308.05,8.11,236.00,2.26,,,1913.00,2224.42,-9.25,280.93,10.232
182.844,69.6,15,6.41,32.55,,,2324.0,371.90,8.19,190.00,2.97,,,2033.00,2186.02,-69.06,279.56,8.278
182.844,69.6,25,3.51,32.79,,,2356.0,415.24,8.21,157.00,3.10,,,2049.00,2187.10,-91.35,276.66,6.912
182.844,69.6,47,0.95,32.97,,,2379.0,244.84,7.68,586.00,1.04,1.10,,2306.00,2447.98,100.01,274.10,26.040
164.53,69.62,0.0,2.59,22.40,,,,349.90,7.91,433.21,0.35,7.70,,1159.44,1811.63,8.72,275.74,19.136
164.53,69.62,5.0,2.07,24.68,,,,333.90,7.87,864.40,0.66,,,2196.96,3115.62,23.25,275.22,38.255
164.53,69.62,10.0,0.42,30.97,,,,293.10,7.76,697.57,0.42,8.50,,1532.02,1731.38,61.97,273.57,31.058
169.552,69.634,0.0,6.14,18.67,10.43,1.44,1414.0,339.30,7.79,515.70,0.43,0.87,0.15,1400.00,2624.50,-1.62,279.29,22.490
169.552,69.634,15.0,3.89,20.99,9.51,3.86,1546.7,337.92,7.73,625.90,0.40,2.12,0.14,1542.00,2570.98,12.83,277.04,27.518
177.51,69.64,0,-0.52,28.09,,,,380.20,8.36,160.10,1.36,2.35,,1437.71,1791.38,-7.96,272.63,7.153
177.51,69.64,10,0.44,31.91,,,,376.80,8.18,276.72,1.25,,,1677.14,1839.54,-24.50,273.59,12.319
177.51,69.64,20,0.08,32.14,,,,367.50,8.13,313.69,1.13,6.96,,1706.05,1857.86,-12.52,273.23,13.984
183.17,69.67,0,3.16,32.04,,,,332.50,8.35,183.31,1.85,0.85,,1589.50,1736.35,-3.95,276.31,8.081
183.17,69.67,20,3.22,32.41,,,,335.90,8.36,187.26,2.00,,,1667.03,1800.25,-8.76,276.37,8.253
183.17,69.67,40,0.50,32.64,,,,246.10,7.79,746.94,0.54,,,1783.36,1912.30,103.67,273.65,33.247
183.17,69.67,50,-0.70,33.08,,,,224.90,7.78,818.15,0.57,1.89,,1967.72,2081.93,134.78,272.45,36.576
186.42,69.69,0,4.28,31.71,,,,332.30,8.29,263.30,1.99,0.36,,1902.24,2099.60,-11.81,277.43,11.560
186.42,69.69,10,4.29,31.71,,,,330.90,8.29,240.43,1.81,,,1736.40,1916.56,-10.49,277.44,10.555
186.42,69.69,30,2.70,32.34,,,,330.90,8.23,284.66,1.66,,,1862.03,2015.19,0.65,275.85,12.569
186.42,69.69,52,1.83,32.49,,,,274.70,8.01,489.14,1.01,1.61,,1910.43,2058.02,63.77,274.98,21.666
162.6887,69.7082,3.7,0.84,29.87,7.84,0.07,2088.6,308.79,7.72,803.00,0.59,,0.20,2084.20,2442.49,45.46,273.99,35.697
162.6887,69.7082,9.8,0.84,29.87,8.10,0.14,2088.4,308.79,7.72,799.31,0.59,,0.18,2079.40,2436.30,45.47,273.99,35.534
162.38,69.72,0.0,4.73,10.47,,,,358.90,7.98,357.23,0.20,33.28,,853.05,2851.65,12.74,277.88,15.658
162.38,69.72,7.0,2.04,25.71,,,,342.90,7.93,338.08,0.36,22.00,,1009.38,1374.11,11.72,275.19,14.964
162.368,69.734,0.0,4.20,15.41,42.57,12.20,1304.7,338.53,7.48,1032.60,0.16,9.48,0.37,1351.00,3068.18,24.42,277.35,45.348
162.368,69.734,12.0,-0.17,22.59,23.25,11.50,1687.9,321.58,7.44,1325.80,0.20,10.76,0.32,1757.00,2722.01,63.34,272.98,59.156
162.3167,69.7597,3.8,3.01,25.36,6.55,,1851.7,328.00,7.74,708.90,0.54,,0.24,1818.30,2509.20,18.93,276.16,31.267
162.3167,69.7597,10.2,-0.05,30.16,,,2102.1,303.12,7.73,787.38,0.59,,,2088.30,2423.12,58.61,273.10,35.117
162.3167,69.7597,13.6,-0.06,30.17,,0.19,2117.5,302.07,7.73,788.10,0.60,,,2091.00,2425.79,59.73,273.09,35.151
165.9987,69.8165,4.1,2.45,28.35,4.79,0.02,1984.7,367.91,8.09,311.31,1.28,,0.82,1911.10,2359.02,-23.94,275.60,13.759
165.9987,69.8165,10.0,2.49,28.51,,0.02,2001.1,370.66,8.09,318.53,1.28,,,1892.80,2323.61,-27.52,275.64,14.076
165.9987,69.8165,14.9,0.64,29.25,,0.02,2054.0,399.48,8.04,364.99,1.12,,,2002.90,2396.33,-41.68,273.79,16.238
165.9987,69.8165,20.5,-1.25,30.56,5.78,0.02,2126.3,359.23,7.93,479.72,0.89,,0.65,2077.80,2379.93,13.05,271.90,21.490
165.9987,69.8165,25.1,-1.38,30.82,,0.06,2138.0,304.52,7.79,687.05,0.65,,,2115.60,2402.56,68.27,271.77,30.792
165.9987,69.8165,32.2,-1.38,30.83,5.76,0.16,2137.3,304.52,7.78,695.39,0.64,,0.31,2119.40,2406.23,68.30,271.77,31.166
164.0568,69.8170,3.8,2.71,29.29,6.98,0.03,2062.4,358.78,7.96,450.77,1.04,,0.17,1970.10,2354.54,-19.51,275.86,19.903
164.0568,69.8170,10.5,-0.10,30.38,,0.04,2115.4,305.95,7.75,751.65,0.62,,,2108.60,2429.31,55.63,273.05,33.530
164.0568,69.8170,15.1,-0.89,30.61,5.89,0.09,2123.0,301.39,7.75,745.43,0.61,,0.11,2117.80,2421.62,67.23,272.26,33.349
164.0568,69.8170,20.0,-0.90,30.61,,0.18,2122.5,300.87,7.75,742.82,0.61,,,2118.60,2422.31,67.83,272.25,33.234
164.0568,69.8170,24.9,-0.90,30.61,,0.20,2122.8,301.17,7.76,737.12,0.61,,,2116.70,2420.09,67.53,272.25,32.979
164.0568,69.8170,30.4,-0.90,30.61,7.19,0.25,2129.5,300.65,7.74,766.29,0.60,,0.27,2122.00,2426.16,68.06,272.25,34.284
161.347,69.834,0.0,3.56,14.30,38.72,16.25,1272.3,342.61,7.52,924.50,0.16,7.38,0.33,1314.00,3215.43,29.36,276.71,40.695
161.347,69.834,9.0,1.52,19.06,30.39,45.16,1547.0,311.12,7.34,1579.60,0.14,43.32,1.17,1635.00,3002.50,67.11,274.67,70.047
161.10,69.88,0.0,2.53,24.83,,,,344.30,7.98,320.00,0.42,21.60,,1049.34,1479.13,8.28,275.68,14.138
161.10,69.88,8.0,2.46,26.69,,,,342.10,7.96,329.56,0.44,15.90,,1077.17,1412.55,6.13,275.61,14.565
169.674,69.888,0.0,3.38,16.73,15.25,1.57,1301.6,372.62,7.75,523.80,0.30,0.96,0.12,1303.00,2726.10,-5.68,276.53,23.072
169.674,69.888,13.0,3.89,19.48,11.40,3.01,1474.5,346.30,7.74,600.90,0.37,1.70,0.14,1473.00,2646.86,8.50,277.04,26.419
175.50,69.92,0,0.63,29.44,,,,376.30,8.30,192.21,1.35,7.30,,1494.83,1777.14,-18.95,273.78,8.551
175.50,69.92,12,0.61,31.71,,,,376.40,8.18,285.94,1.28,3.94,,1716.43,1894.51,-25.10,273.76,12.722
176.739,69.922,0,1.86,25.25,3.55,1.88,1762.0,370.36,8.03,331.32,0.94,1.53,0.22,1690.00,2342.56,-12.87,275.01,14.674
176.739,69.922,11.8,0.23,27.43,4.86,2.72,1923.0,349.38,7.96,414.40,0.88,2.20,0.20,1862.00,2375.50,17.37,273.38,18.463
176.109,69.957,0,3.00,21.89,4.37,1.24,1581.7,361.70,7.87,458.30,0.54,0.80,0.10,1553.00,2483.65,-5.41,276.15,20.215
176.109,69.957,10,2.62,22.94,4.47,1.18,1646.4,387.50,7.88,460.90,0.58,,,1614.00,2462.34,-30.67,275.77,20.357
176.109,69.957,22,-0.44,26.51,6.72,1.79,1796.7,375.86,7.85,504.30,0.59,1.30,0.11,1767.00,2332.78,0.19,272.71,22.524
173.25,69.96,0,1.91,30.66,,,,348.40,8.20,303.74,1.44,3.62,,1835.13,2094.90,-5.84,275.06,13.450
173.25,69.96,5,1.13,31.45,,,,359.60,8.21,296.88,1.49,,,1872.91,2084.32,-12.28,274.28,13.184
173.25,69.96,5,1.13,31.45,,,,359.60,8.21,296.88,1.49,,,1872.91,2084.32,-12.28,274.28,13.184
173.25,69.96,12,0.75,31.85,,,,366.00,8.16,328.23,1.33,4.17,,1862.52,2046.73,-16.35,273.90,14.596
176.214,69.994,2.869,0.37,32.07,1.06,0.74,2204.7,313.91,8.11,320.06,1.47,9.49,,2075.43,2265.28,38.59,273.52,14.253
176.214,69.994,6.833,0.39,32.05,0.96,0.57,2206.4,314.50,8.12,312.86,1.50,,,2073.81,2264.71,37.83,273.54,13.931
176.214,69.994,9.93,0.39,32.05,0.96,0.61,2210.2,312.77,8.10,331.48,1.43,,,2085.09,2276.86,39.61,273.54,14.760
176.214,69.994,13.305,0.24,32.14,1.11,0.93,2213.2,313.39,8.07,350.05,1.37,,,2095.73,2281.92,40.11,273.39,15.596
176.214,69.994,25.25,0.30,32.15,1.24,1.34,2213.2,312.46,8.06,363.41,1.33,,,2100.25,2286.34,40.49,273.45,16.188
176.214,69.994,32.427,0.31,32.15,1.28,1.92,2214.7,311.82,8.05,372.47,1.30,9.77,,2104.77,2291.03,40.95,273.46,16.590
165.142,70,0.0,6.10,11.59,4.01,4.01,1053.5,356.74,7.74,484.70,0.22,2.22,0.24,1061.00,3204.22,-0.54,279.25,21.142
165.142,70,24.0,-1.06,26.30,12.94,6.31,1858.0,248.74,7.36,1706.00,0.20,5.32,0.19,1955.00,2601.94,134.32,272.09,76.371
169.97,70.00,0.0,1.35,30.61,,,,350.00,8.20,308.50,1.42,2.34,,1864.42,2131.81,-2.39,274.50,13.689
169.97,70.00,15.0,0.37,31.69,,,,303.90,7.88,655.59,0.70,7.90,,1911.49,2111.14,49.65,273.52,29.194
184.279,70,1,3.56,26.23,,,1896.0,340.40,8.04,214.00,1.58,0.07,,1744.00,2327.11,-0.46,276.71,9.420
184.279,70,5,3.51,26.97,,,1931.0,342.50,8.03,224.00,1.60,,,1778.00,2307.38,-4.04,276.66,9.862
184.279,70,9,5.22,30.61,,,2132.0,331.59,8.13,196.00,2.35,,,1901.00,2173.64,-15.66,278.37,8.576
184.279,70,15,4.01,32.23,,,2286.0,408.79,8.13,195.00,2.59,,,2032.00,2206.64,-87.46,277.16,8.570
184.279,70,24,1.55,32.39,,,2331.0,431.22,8.15,167.00,2.72,,,2062.00,2228.16,-90.08,274.70,7.405
184.279,70,50,-0.53,33.07,,,2386.0,254.90,7.62,644.00,0.90,,,2333.00,2469.16,103.20,272.62,28.773
184.279,70,57,-0.57,33.08,,,2386.0,255.06,7.60,674.00,0.86,1.57,,2339.00,2474.76,103.39,272.58,30.118
161.201,70.001,0.0,3.51,13.75,22.42,6.34,1280.0,371.69,7.77,520.74,0.29,5.95,0.34,1286.00,3274.40,2.38,276.66,22.926
161.201,70.001,11.0,0.09,25.49,9.68,9.86,1833.0,321.06,7.68,802.53,0.42,10.80,,1843.00,2530.20,52.70,273.24,35.775
176.308,70.008,0,1.57,25.61,2.83,1.09,1804.0,368.70,8.08,298.53,1.07,0.80,0.12,1718.00,2348.11,-9.47,274.72,13.236
176.308,70.008,16,1.06,26.98,3.53,1.24,1892.0,354.14,8.02,360.19,0.99,,,1817.00,2356.89,5.97,274.21,15.999
176.308,70.008,25,-0.97,31.54,5.45,3.36,2151.0,251.21,7.63,1002.27,0.49,,,2167.00,2404.82,115.45,272.18,44.852
176.308,70.008,38,-1.18,31.69,5.49,3.49,2213.0,232.97,7.58,1152.75,0.45,3.00,0.21,2244.00,2478.35,135.28,271.97,51.625
164.56,70.04,0.0,2.60,29.71,,,,334.30,8.10,253.50,0.72,6.54,,1172.30,1381.03,4.81,275.75,11.197
164.56,70.04,10.0,2.65,29.72,,,,334.00,8.10,264.62,0.75,,,1221.14,1438.08,4.66,275.80,11.687
164.56,70.04,20.0,2.05,30.32,,,,327.50,8.03,393.32,0.83,5.20,,1572.01,1814.66,14.74,275.20,17.408
170.077,70.047,0.0,3.90,19.96,8.96,1.46,1493.2,353.22,7.80,520.70,0.43,0.93,0.09,1480.00,2595.23,0.15,277.05,22.892
170.077,70.047,18.0,-0.76,27.73,8.44,3.77,2008.4,320.11,7.65,913.60,0.43,3.45,0.14,2025.00,2555.81,55.59,272.39,40.853
171.51,70.07,0,2.10,29.32,,,,338.70,8.12,375.89,1.14,2.90,,1817.56,2169.67,5.73,275.25,16.634
171.51,70.07,10,1.55,29.96,,,,331.80,8.10,391.33,1.12,,,1855.64,2167.81,15.77,274.70,17.352
171.51,70.07,24,0.30,31.64,,,,308.30,7.94,567.84,0.82,7.70,,1931.06,2136.13,46.03,273.45,25.293
167.53,70.091,0.0,3.93,14.36,19.63,1.77,1159.2,367.70,7.73,509.20,0.24,1.38,0.14,1166.00,2841.92,0.67,277.08,22.384
167.53,70.091,10.0,-0.82,22.13,15.69,1.07,1639.8,373.72,7.69,701.60,0.33,,,1654.00,2615.98,19.45,272.33,31.379
167.53,70.091,35.0,-1.09,29.44,9.32,6.07,2052.2,133.79,7.23,2460.50,0.18,5.53,0.27,2200.00,2615.69,240.14,272.07,110.156
176.63,70.104,0,2.79,22.06,3.73,1.40,1561.3,360.48,7.87,442.00,0.54,1.00,0.12,1532.00,2430.20,-2.81,275.94,19.510
176.63,70.104,14,0.46,27.80,5.50,1.35,1907.0,404.53,8.01,362.70,0.95,,,1832.00,2306.11,-40.97,273.61,16.147
176.63,70.104,30,-1.47,26.68,5.51,1.03,1769.1,372.52,7.93,410.40,0.66,,,1726.00,2263.84,13.58,271.68,18.399
